Year,Day,Habitat,Point count number,sex,number,Size
2014,Peak,shelf,39,m,1,s
2014,Peak,shelf,39,m,2,s
2014,Peak,shelf,39,m,1,s
2014,Peak,shelf,39,m,2,s
2014,Peak,shelf,39,m,1,s
2014,Peak,shelf,39,m,2,l
2014,Peak,shelf,39,m,1,s
2014,Peak,slope,40,f,50,s
2014,Peak,slope,40,f,13,s
2014,Peak,slope,40,f,8,l
2014,Peak,slope,40,m,2,s
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,3,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,1,s
2014,Peak,slope,40,m,3,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,3,l
2014,Peak,slope,40,m,3,l
2014,Peak,slope,40,m,1,s
2014,Peak,slope,40,m,5,s
2014,Peak,slope,40,m,2,s
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,40,m,4,l
2014,Peak,slope,40,m,2,l
2014,Peak,slope,41,f,1,l
2014,Peak,slope,41,f,250,s
2014,Peak,slope,41,f,1,l
2014,Peak,slope,41,m,4,l
2014,Peak,slope,41,m,1,l
2014,Peak,slope,41,m,3,l
2014,Peak,slope,41,m,4,l
2014,Peak,slope,41,m,5,l
2014,Peak,slope,41,m,4,l
2014,Peak,slope,41,m,5,l
2014,Peak,slope,41,m,3,l
2014,Peak,slope,41,m,3,l
2014,Peak,slope,42,f,12,s
2014,Peak,slope,42,f,4,s
2014,Peak,slope,42,f,100,s
2014,Peak,slope,42,m,2,s
2014,Peak,slope,42,m,2,s
2014,Peak,slope,42,m,2,s
2014,Peak,slope,42,m,2,l
2014,Peak,slope,42,m,1,l
2014,Peak,slope,42,m,2,l
2014,Peak,slope,42,m,3,l
2014,Peak,slope,42,m,1,l
2014,Peak,slope,42,m,1,l
2014,Peak,slope,42,m,1,l
2014,Peak,slope,42,m,1,s
2014,Peak,slope,42,m,2,l
2014,Peak,slope,42,m,2,s
2014,Peak,slope,42,m,2,l
2014,Peak,slope,42,m,2,l
2014,Peak,slope,43,f,2,l
2014,Peak,slope,43,m,2,s
2014,Peak,slope,43,m,1,s
2014,Peak,slope,43,m,1,l
2014,Peak,slope,43,m,2,l
2014,Peak,slope,43,m,2,l
2014,Peak,slope,43,m,1,s
2014,Peak,slope,43,m,2,s
2014,Peak,slope,43,m,1,s
2014,Peak,slope,43,m,1,l
2014,Peak,slope,43,m,3,l
2014,Peak,slope,44,f,5,l
2014,Peak,slope,44,f,3,s
2014,Peak,slope,44,m,2,s
2014,Peak,slope,44,m,1,s
2014,Peak,slope,44,m,2,l
2014,Peak,slope,44,m,3,l
2014,Peak,slope,44,m,1,s
2014,Peak,slope,44,m,1,l
2014,Peak,slope,45,f,4,s
2014,Peak,slope,45,f,5,l
2014,Peak,slope,45,m,3,l
2014,Peak,slope,45,m,1,s
2014,Peak,slope,45,m,1,l
2014,Peak,slope,45,m,4,l
2014,Peak,slope,45,m,2,l
2014,Peak,slope,45,m,2,s
2014,Peak,slope,45,m,1,s
2014,Peak,slope,45,m,2,l
2014,Peak,slope,45,m,1,l
2014,Peak,slope,45,m,2,s
2014,Peak,slope,45,m,3,l
2014,Peak,slope,45,m,2,s
