Year,ID,habitat,sec,State,new.state
2013,1002_sl,Slope,5,Movement,Rest
2013,1002_sl,Slope,16,Movement,Rove
2013,1002_sl,Slope,29,Movement,Rest
2013,1003_sl,Slope,12,Movement,Rest
2013,1003_sl,Slope,2,Interaction,Aggression
2013,1003_sl,Slope,1,Interaction,Aggression
2013,1003_sl,Slope,9,Interaction,Aggression
2013,1003_sl,Slope,28,Interaction,Aggression
2013,1003_sl,Slope,4,Interaction,Aggression
2013,1003_sl,Slope,16,Movement,Rove
2013,1003_sl,Slope,12,Interaction,Aggression
2013,1003_sl,Slope,2,Interaction,Aggression
2013,1003_sl,Slope,19,Interaction,Aggression
2013,1003_sl,Slope,14,Movement,Rove
2013,1003_sl,Slope,52,Movement,Rest
2013,1003_sl,Slope,15,Interaction,Aggression
2013,1003_sl,Slope,41,Movement,Rest
2013,1004_sl,Slope,12,Interaction,Aggression
2013,1004_sl,Slope,4,Interaction,Aggression
2013,1004_sl,Slope,2,Interaction,Aggression
2013,1004_sl,Slope,1,Interaction,Aggression
2013,1004_sl,Slope,5,Interaction,Aggression
2013,1004_sl,Slope,23,Movement,Rove
2013,1004_sl,Slope,13,Interaction,Female
2013,1004_sl,Slope,45,Movement,Rest
2013,1004_sl,Slope,6,Interaction,Aggression
2013,1004_sl,Slope,49,Interaction,Aggression
2013,1004_sl,Slope,20,Movement,Rest
2013,1004_sl,Slope,3,Interaction,Aggression
2013,1004_sl,Slope,41,Interaction,Aggression
2013,1004_sl,Slope,3,Interaction,Aggression
2013,1005_sl,Slope,48,Movement,Rest
2013,1005_sl,Slope,1,Interaction,Female
2013,1005_sl,Slope,54,Movement,Rest
2013,1005_sl,Slope,18,Movement,Rove
2013,1005_sl,Slope,4,Interaction,Female
2013,1005_sl,Slope,4,Interaction,Female
2013,1005_sl,Slope,1,Interaction,Female
2013,1005_sl,Slope,103,Movement,Rest
2013,1006_sl,Slope,12,Interaction,Aggression
2013,1006_sl,Slope,1,Interaction,Aggression
2013,1006_sl,Slope,11,Movement,Rove
2013,1006_sl,Slope,6,Interaction,Aggression
2013,1006_sl,Slope,3,Interaction,Aggression
2013,1006_sl,Slope,15,Movement,Rove
2013,1006_sl,Slope,68,Movement,Rest
2013,1006_sl,Slope,26,Interaction,Aggression
2013,1006_sl,Slope,27,Movement,Rove
2013,1006_sl,Slope,12,Interaction,Aggression
2013,1006_sl,Slope,16,Movement,Rove
2013,1006_sl,Slope,2,Interaction,Aggression
2013,1006_sl,Slope,4,Interaction,Aggression
2013,1006_sl,Slope,1,Interaction,Aggression
2013,1006_sl,Slope,10,Movement,Rest
2013,1006_sl,Slope,12,Interaction,Aggression
2013,1006_sl,Slope,16,Movement,Rest
2013,1006_sl,Slope,29,Movement,Rove
2013,1006_sl,Slope,1,Interaction,Female
2013,1006_sl,Slope,22,Movement,Rest
2013,1006_sl,Slope,1,Interaction,Female
2013,1006_sl,Slope,19,Movement,Rove
2013,1006_sl,Slope,7,Movement,Rest
2013,1006_sl,Slope,15,Movement,Rove
2013,1006_sl,Slope,3,Interaction,Female
2013,1006_sl,Slope,14,Interaction,Female
2013,1006_sl,Slope,11,Movement,Rove
2013,1006_sl,Slope,6,Interaction,Female
2013,1006_sl,Slope,84,Movement,Rove
2013,901_sh,Shelf,3,Movement,Rove
2013,901_sh,Shelf,21,Interaction,Female
2013,901_sh,Shelf,2,Interaction,Female
2013,901_sh,Shelf,8,Interaction,Female
2013,901_sh,Shelf,9,Interaction,Aggression
2013,901_sh,Shelf,14,Movement,Rest
2013,901_sh,Shelf,1,Interaction,Aggression
2013,901_sh,Shelf,14,Movement,Rove
2013,901_sh,Shelf,7,Movement,Rove
2013,901_sh,Shelf,39,Interaction,Female
2013,901_sh,Shelf,2,Interaction,Female
2013,901_sh,Shelf,29,Movement,Rove
2013,901_sh,Shelf,3,Interaction,Female
2013,901_sh,Shelf,75,Movement,Rove
2013,902_sh,Shelf,8,Movement,Rove
2013,902_sh,Shelf,2,Interaction,Female
2013,902_sh,Shelf,34,Movement,Rove
2013,902_sh,Shelf,1,Interaction,Female
2013,902_sh,Shelf,19,Interaction,Female
2013,902_sh,Shelf,1,Movement,Rove
2013,902_sh,Shelf,2,Interaction,Female
2013,902_sh,Shelf,38,Movement,Rest
2013,902_sh,Shelf,6,Interaction,Aggression
2013,902_sh,Shelf,24,Movement,Rest
2013,902_sh,Shelf,9,Interaction,Aggression
2013,902_sh,Shelf,35,Movement,Rest
2013,902_sh,Shelf,28,Interaction,Female
